Pump current	Output power
130	664
135	746
140	830
145	912
150	994
155	1076
160	1155
165	1240
170	1318
175	1402
180	1485
185	1567
190	1650
195	1732
200	1815
205	1898
210	1980
215	2061
220	2146
225	2231
230	2314
235	2393
240	2474
245	2558
250	2637
255	2714
260	2791
265	2881
270	2973
275	3050
280	3134
285	3209
290	3290
295	3379
300	3459
305	3540
310	3620
315	3699
320	3780
325	3859
330	3940
335	4015
340	4099
345	4170
350	4262
355	4342
360	4422
