	time	current	center_wavelength
0	2019-12-05 11:07:33.600	129.9469	1558.6427
1	2019-12-05 11:07:34.119	129.9469	1558.6423
2	2019-12-05 11:07:34.646	129.9469	1558.642
3	2019-12-05 11:07:35.165	129.9469	1558.6424
4	2019-12-05 11:07:35.695	129.9469	1558.6415
5	2019-12-05 11:07:36.208	129.9469	1558.6426
6	2019-12-05 11:07:36.722	129.9469	1558.6417
7	2019-12-05 11:07:37.241	129.9469	1558.643
8	2019-12-05 11:07:37.758	129.9469	1558.645
9	2019-12-05 11:07:38.273	129.9469	1558.6446
10	2019-12-05 11:07:38.787	129.9469	1558.6451
11	2019-12-05 11:07:39.305	129.9469	1558.7911
12	2019-12-05 11:07:39.836	129.9469	1558.791
13	2019-12-05 11:07:40.353	132.7898	1558.7928
14	2019-12-05 11:07:40.883	132.7898	1558.7892
15	2019-12-05 11:07:41.396	132.7898	1558.9446
16	2019-12-05 11:07:41.917	132.7898	1558.9389
17	2019-12-05 11:07:42.444	139.9693	1558.9427
18	2019-12-05 11:07:42.961	139.9693	1558.9378
19	2019-12-05 11:07:43.476	139.9693	1559.1013
20	2019-12-05 11:07:43.992	139.9693	1559.1029
21	2019-12-05 11:07:44.507	144.9324	1559.1
22	2019-12-05 11:07:45.025	144.9324	1559.104
23	2019-12-05 11:07:45.538	144.9324	1559.263
24	2019-12-05 11:07:46.053	144.9324	1559.2608
25	2019-12-05 11:07:46.571	149.9436	1559.2528
26	2019-12-05 11:07:47.102	149.9436	1559.2532
27	2019-12-05 11:07:47.617	149.9436	1559.4093
28	2019-12-05 11:07:48.130	149.9436	1559.4227
29	2019-12-05 11:07:48.646	154.9548	1559.4108
30	2019-12-05 11:07:49.165	154.9548	1559.4142
31	2019-12-05 11:07:49.693	154.9548	1559.5939
32	2019-12-05 11:07:50.208	154.9548	1559.5956
33	2019-12-05 11:07:50.725	159.9178	1559.5957
34	2019-12-05 11:07:51.241	159.9178	1559.5894
35	2019-12-05 11:07:51.755	159.9178	1559.6801
