Pump current	Output power
130	612
135	717
140	795
145	873
150	954
155	1033
160	1111
165	1188
170	1267
175	1304
180	1425
185	1506
190	1587
195	1664
200	1748
205	1826
210	1907
215	1986
220	2063
225	2135
230	2213
235	2290
240	2368
245	2444
250	2529
255	2616
260	2694
265	2770
270	2846
275	2922
280	3000
285	3079
290	3156
295	3238
300	3318
305	3391
310	3473
315	3550
320	3622
325	3691
330	3779
335	3867
340	3946
345	4022
350	4095
355	4173
360	4239
