	time	current	center_wavelength
0	2019-12-06 17:32:01.129	129.9469	1558.5063
1	2019-12-06 17:32:01.647	129.9469	1558.4943
2	2019-12-06 17:32:02.162	129.9469	1558.4971
3	2019-12-06 17:32:02.678	129.9469	1558.4984
4	2019-12-06 17:32:03.194	129.9469	1558.4986
5	2019-12-06 17:32:03.710	129.9469	1558.4963
6	2019-12-06 17:32:04.224	129.9469	1558.5055
7	2019-12-06 17:32:04.738	129.9469	1558.491
8	2019-12-06 17:32:05.257	129.9469	1558.5032
9	2019-12-06 17:32:05.773	129.9469	1558.501
10	2019-12-06 17:32:06.285	129.9469	1558.4875
11	2019-12-06 17:32:06.802	129.9469	1558.4868
12	2019-12-06 17:32:07.316	129.9469	1558.4982
13	2019-12-06 17:32:07.833	129.9469	1558.6164
14	2019-12-06 17:32:08.349	129.9469	1558.6161
15	2019-12-06 17:32:08.863	131.1997	1558.6181
16	2019-12-06 17:32:09.380	131.1997	1558.6165
17	2019-12-06 17:32:09.893	131.1997	1558.7473
18	2019-12-06 17:32:10.413	131.1997	1558.7496
19	2019-12-06 17:32:10.928	137.271	1558.7475
20	2019-12-06 17:32:11.442	137.271	1558.7454
21	2019-12-06 17:32:11.956	137.271	1558.8855
22	2019-12-06 17:32:12.473	137.271	1558.8742
23	2019-12-06 17:32:12.987	144.9324	1558.8852
24	2019-12-06 17:32:13.508	144.9324	1558.8753
25	2019-12-06 17:32:14.019	144.9324	1559.0149
26	2019-12-06 17:32:14.536	144.9324	1559.0137
27	2019-12-06 17:32:15.053	149.9436	1559.0112
28	2019-12-06 17:32:15.568	149.9436	1559.0101
29	2019-12-06 17:32:16.083	149.9436	1559.1446
30	2019-12-06 17:32:16.598	149.9436	1559.1422
31	2019-12-06 17:32:17.115	154.9548	1559.1482
32	2019-12-06 17:32:17.631	154.9548	1559.1416
33	2019-12-06 17:32:18.150	154.9548	1559.1453
34	2019-12-06 17:32:18.677	154.9548	1559.2809
35	2019-12-06 17:32:19.192	159.9178	1559.2816
36	2019-12-06 17:32:19.708	159.9178	1559.2759
37	2019-12-06 17:32:20.224	159.9178	1559.2803
38	2019-12-06 17:32:20.739	159.9178	1559.4198
39	2019-12-06 17:32:21.254	163.7726	1559.4206
40	2019-12-06 17:32:21.771	163.7726	1559.4198
41	2019-12-06 17:32:22.286	163.7726	1559.4191
42	2019-12-06 17:32:22.802	163.7726	1559.562
43	2019-12-06 17:32:23.318	163.7726	1559.5577
44	2019-12-06 17:32:23.833	169.9402	1559.5614
45	2019-12-06 17:32:24.349	169.9402	1559.557
46	2019-12-06 17:32:24.866	169.9402	1559.637
47	2019-12-06 17:32:25.380	169.9402	1559.625
48	2019-12-06 17:32:25.896	170.7594	1559.6416
49	2019-12-06 17:32:26.412	170.7594	1559.5754
50	2019-12-06 17:32:26.926	170.7594	1558.6157
51	2019-12-06 17:32:27.443	170.7594	1558.6144
52	2019-12-06 17:32:27.958	179.9626	1558.6128
53	2019-12-06 17:32:28.474	179.9626	1558.6122
54	2019-12-06 17:32:28.991	179.9626	1558.6777
55	2019-12-06 17:32:29.508	179.9626	1558.6794
56	2019-12-06 17:32:30.021	184.9257	1558.6834
57	2019-12-06 17:32:30.538	184.9257	1558.6812
58	2019-12-06 17:32:31.053	184.9257	1558.7381
59	2019-12-06 17:32:31.568	184.9257	1558.7438
60	2019-12-06 17:32:32.085	189.9369	1558.7404
61	2019-12-06 17:32:32.601	189.9369	1558.7404
62	2019-12-06 17:32:33.116	189.9369	1558.8062
63	2019-12-06 17:32:33.631	189.9369	1558.8044
64	2019-12-06 17:32:34.146	194.9481	1558.8071
65	2019-12-06 17:32:34.660	194.9481	1558.8029
66	2019-12-06 17:32:35.176	194.9481	1558.8066
67	2019-12-06 17:32:35.694	194.9481	1558.8669
68	2019-12-06 17:32:36.210	199.9111	1558.8675
69	2019-12-06 17:32:36.724	199.9111	1558.8726
70	2019-12-06 17:32:37.241	199.9111	1558.8754
71	2019-12-06 17:32:37.756	199.9111	1558.9382
72	2019-12-06 17:32:38.273	204.9223	1558.932
73	2019-12-06 17:32:38.786	204.9223	1558.9315
74	2019-12-06 17:32:39.303	204.9223	1558.9412
75	2019-12-06 17:32:39.818	204.9223	1559.0038
76	2019-12-06 17:32:40.333	208.7289	1559.0007
77	2019-12-06 17:32:40.849	208.7289	1559.0004
78	2019-12-06 17:32:41.364	208.7289	1559.0054
79	2019-12-06 17:32:41.881	208.7289	1559.0715
