	time	current	center_wavelength
0	2019-12-09 14:42:54.792	129.9469	1558.4397
1	2019-12-09 14:42:55.307	129.9469	1558.4371
2	2019-12-09 14:42:55.822	129.9469	1558.433
3	2019-12-09 14:42:56.338	129.9469	1558.436
4	2019-12-09 14:42:56.854	129.9469	1558.4407
5	2019-12-09 14:42:57.371	129.9469	1558.4408
6	2019-12-09 14:42:57.889	129.9469	1558.4404
7	2019-12-09 14:42:58.402	129.9469	1558.4432
8	2019-12-09 14:42:58.916	129.9469	1558.5327
9	2019-12-09 14:42:59.431	129.9469	1558.5321
10	2019-12-09 14:42:59.947	134.9581	1558.5339
11	2019-12-09 14:43:00.463	134.9581	1558.5358
12	2019-12-09 14:43:00.981	134.9581	1558.638
13	2019-12-09 14:43:01.494	134.9581	1558.6373
14	2019-12-09 14:43:02.010	139.9693	1558.6376
15	2019-12-09 14:43:02.527	139.9693	1558.6357
16	2019-12-09 14:43:03.042	139.9693	1558.7478
17	2019-12-09 14:43:03.556	139.9693	1558.7503
18	2019-12-09 14:43:04.073	142.8604	1558.7487
19	2019-12-09 14:43:04.589	142.8604	1558.7491
20	2019-12-09 14:43:05.104	142.8604	1558.8583
21	2019-12-09 14:43:05.619	142.8604	1558.8531
22	2019-12-09 14:43:06.136	149.9436	1558.8675
23	2019-12-09 14:43:06.649	149.9436	1558.8594
24	2019-12-09 14:43:07.167	149.9436	1558.9821
25	2019-12-09 14:43:07.682	149.9436	1558.9788
26	2019-12-09 14:43:08.198	154.9548	1558.9784
27	2019-12-09 14:43:08.712	154.9548	1558.9769
28	2019-12-09 14:43:09.229	154.9548	1558.9737
29	2019-12-09 14:43:09.743	154.9548	1559.0925
30	2019-12-09 14:43:10.260	155.1475	1559.0946
31	2019-12-09 14:43:10.777	155.1475	1559.0994
32	2019-12-09 14:43:11.291	155.1475	1559.2764
33	2019-12-09 14:43:11.806	155.1475	1559.203
34	2019-12-09 14:43:12.327	164.929	1559.2059
35	2019-12-09 14:43:12.840	164.929	1559.2163
36	2019-12-09 14:43:13.353	164.929	1559.2103
37	2019-12-09 14:43:13.870	164.929	1557.8354
38	2019-12-09 14:43:14.385	169.9402	1558.4408
39	2019-12-09 14:43:14.900	169.9402	1558.4409
40	2019-12-09 14:43:15.415	169.9402	1558.4447
41	2019-12-09 14:43:15.933	169.9402	1558.4884
42	2019-12-09 14:43:16.449	172.2531	1558.491
43	2019-12-09 14:43:16.963	172.2531	1558.4897
44	2019-12-09 14:43:17.479	172.2531	1558.4841
45	2019-12-09 14:43:17.996	172.2531	1558.5339
46	2019-12-09 14:43:18.511	179.9145	1558.5372
47	2019-12-09 14:43:19.025	179.9145	1558.5372
48	2019-12-09 14:43:19.542	179.9145	1558.5384
49	2019-12-09 14:43:20.059	179.9145	1558.5862
50	2019-12-09 14:43:20.571	184.9257	1558.5974
51	2019-12-09 14:43:21.091	184.9257	1558.5872
52	2019-12-09 14:43:21.604	184.9257	1558.5863
53	2019-12-09 14:43:22.117	184.9257	1558.6416
54	2019-12-09 14:43:22.635	184.9257	1558.6432
55	2019-12-09 14:43:23.151	189.8887	1558.6407
56	2019-12-09 14:43:23.668	189.8887	1558.6413
57	2019-12-09 14:43:24.184	189.8887	1558.6936
58	2019-12-09 14:43:24.699	189.8887	1558.6968
59	2019-12-09 14:43:25.214	194.8999	1558.6929
60	2019-12-09 14:43:25.729	194.8999	1558.6993
61	2019-12-09 14:43:26.244	194.8999	1558.7486
62	2019-12-09 14:43:26.762	194.8999	1558.749
63	2019-12-09 14:43:27.276	199.9111	1558.7504
64	2019-12-09 14:43:27.793	199.9111	1558.7451
65	2019-12-09 14:43:28.307	199.9111	1558.7987
66	2019-12-09 14:43:28.821	199.9111	1558.8032
67	2019-12-09 14:43:29.338	204.9223	1558.8015
68	2019-12-09 14:43:29.855	204.9223	1558.8022
69	2019-12-09 14:43:30.370	204.9223	1558.8574
70	2019-12-09 14:43:30.887	204.9223	1558.8511
71	2019-12-09 14:43:31.402	209.8854	1558.8491
72	2019-12-09 14:43:31.917	209.8854	1558.8556
73	2019-12-09 14:43:32.432	209.8854	1558.912
74	2019-12-09 14:43:32.949	209.8854	1558.9107
75	2019-12-09 14:43:33.463	214.8966	1558.9097
76	2019-12-09 14:43:33.978	214.8966	1558.9137
77	2019-12-09 14:43:34.496	214.8966	1558.9097
78	2019-12-09 14:43:35.010	214.8966	1558.9789
79	2019-12-09 14:43:35.528	219.956	1558.9669
80	2019-12-09 14:43:36.041	219.956	1558.9664
81	2019-12-09 14:43:36.556	219.956	1558.9652
82	2019-12-09 14:43:37.072	219.956	1559.025
83	2019-12-09 14:43:37.589	224.919	1559.038
84	2019-12-09 14:43:38.105	224.919	1559.0298
85	2019-12-09 14:43:38.621	224.919	1559.0255
86	2019-12-09 14:43:39.137	224.919	1559.0887
87	2019-12-09 14:43:39.651	229.9302	1559.0941
88	2019-12-09 14:43:40.166	229.9302	1559.0897
89	2019-12-09 14:43:40.681	229.9302	1559.0905
90	2019-12-09 14:43:41.198	229.9302	1559.1493
91	2019-12-09 14:43:41.712	229.9302	1559.1505
92	2019-12-09 14:43:42.229	234.7487	1559.16
93	2019-12-09 14:43:42.745	234.7487	1559.1563
94	2019-12-09 14:43:43.261	234.7487	1559.2143
95	2019-12-09 14:43:43.778	234.7487	1559.2109
96	2019-12-09 14:43:44.293	239.9044	1559.2008
97	2019-12-09 14:43:44.806	239.9044	1559.2115
98	2019-12-09 14:43:45.323	239.9044	1559.2684
99	2019-12-09 14:43:45.839	239.9044	1559.2688
100	2019-12-09 14:43:46.357	244.9157	1559.2671
101	2019-12-09 14:43:46.870	244.9157	1559.268
