Pump current	Output power
130	659
135	741
140	820
145	905
150	987
155	1063
160	1144
165	1225
170	1307
175	1380
180	1468
185	1551
190	1632
195	1720
200	1801
205	1877
210	1957
215	2040
220	2120
225	2208
230	2288
235	2366
240	2440
245	2527
250	2613
255	2690
260	2775
265	2856
270	2927
275	3009
280	3095
285	3175
290	3250
295	3334
300	3417
305	3492
310	3569
315	3653
320	3733
325	3804
330	3882
335	3971
340	4056
345	4132
350	4205
355	4279
360	4370
