Pump current	Output power
130	420
135	445
140	420
145	696
150	762
155	831
160	897
165	963
170	1028
175	1091
180	1157
185	1220
190	1285
195	1358
200	1432
205	1495
210	1561
215	1627
220	1693
225	1757
230	1824
235	1892
240	1956
245	2021
250	2088
255	2151
260	2224
265	2290
270	2353
275	2420
280	2480
285	2544
290	2620
295	2686
300	2751
305	2810
310	2881
315	2948
320	3003
325	3068
330	3133
335	3200
340	3268
345	3338
350	3400
355	3462
360	3530
