	time	current	center_wavelength
0	2019-12-05 14:16:52.186	129.9469	1558.6088
1	2019-12-05 14:16:52.700	129.9469	1558.6107
2	2019-12-05 14:16:53.216	129.9469	1558.6143
3	2019-12-05 14:16:53.735	129.9469	1558.61
4	2019-12-05 14:16:54.265	129.9469	1558.6035
5	2019-12-05 14:16:54.781	129.9469	1558.6099
6	2019-12-05 14:16:55.314	129.9469	1558.6139
7	2019-12-05 14:16:55.841	129.9469	1558.5831
8	2019-12-05 14:16:56.361	129.9469	1558.5832
9	2019-12-05 14:16:56.890	129.9469	1558.5826
10	2019-12-05 14:16:57.409	129.9469	1558.5877
11	2019-12-05 14:16:57.940	129.9469	1558.7257
12	2019-12-05 14:16:58.467	129.9469	1558.7277
13	2019-12-05 14:16:58.984	132.2116	1558.7314
14	2019-12-05 14:16:59.498	132.2116	1558.7241
15	2019-12-05 14:17:00.015	132.2116	1558.8695
16	2019-12-05 14:17:00.534	132.2116	1558.8696
17	2019-12-05 14:17:01.061	138.9575	1558.8652
18	2019-12-05 14:17:01.575	138.9575	1558.8664
19	2019-12-05 14:17:02.093	138.9575	1559.0131
20	2019-12-05 14:17:02.611	138.9575	1559.0147
21	2019-12-05 14:17:03.140	144.9324	1559.015
22	2019-12-05 14:17:03.657	144.9324	1559.0151
23	2019-12-05 14:17:04.189	144.9324	1559.1821
24	2019-12-05 14:17:04.720	144.9324	1559.1592
25	2019-12-05 14:17:05.248	149.8954	1559.1541
26	2019-12-05 14:17:05.766	149.8954	1559.1533
27	2019-12-05 14:17:06.282	149.8954	1559.1558
28	2019-12-05 14:17:06.812	149.8954	1559.3342
29	2019-12-05 14:17:07.326	154.9548	1559.332
30	2019-12-05 14:17:07.844	154.9548	1559.3203
31	2019-12-05 14:17:08.366	154.9548	1559.3214
32	2019-12-05 14:17:08.891	154.9548	1559.4786
33	2019-12-05 14:17:09.409	159.9178	1559.4835
34	2019-12-05 14:17:09.939	159.9178	1559.4904
35	2019-12-05 14:17:10.469	159.9178	1559.6794
36	2019-12-05 14:17:10.986	159.9178	1559.6468
37	2019-12-05 14:17:11.514	163.7244	1559.644
38	2019-12-05 14:17:12.030	163.7244	1559.6497
