	time	current	center_wavelength
0	2019-12-09 13:46:00.998	129.9469	1558.4441
1	2019-12-09 13:46:01.514	129.9469	1558.4413
2	2019-12-09 13:46:02.028	129.9469	1558.4426
3	2019-12-09 13:46:02.545	129.9469	1558.4336
4	2019-12-09 13:46:03.061	129.9469	1558.4342
5	2019-12-09 13:46:03.578	129.9469	1558.4377
6	2019-12-09 13:46:04.095	129.9469	1558.4381
7	2019-12-09 13:46:04.609	129.9469	1558.441
8	2019-12-09 13:46:05.125	129.9469	1558.5402
9	2019-12-09 13:46:05.640	134.9581	1558.5425
10	2019-12-09 13:46:06.156	134.9581	1558.5436
11	2019-12-09 13:46:06.672	134.9581	1558.5414
12	2019-12-09 13:46:07.187	134.9581	1558.6398
13	2019-12-09 13:46:07.702	139.9211	1558.6367
14	2019-12-09 13:46:08.219	139.9211	1558.637
15	2019-12-09 13:46:08.734	139.9211	1558.639
16	2019-12-09 13:46:09.249	139.9211	1558.7537
17	2019-12-09 13:46:09.768	142.4749	1558.7458
18	2019-12-09 13:46:10.297	142.4749	1558.7566
19	2019-12-09 13:46:10.813	142.4749	1558.7536
20	2019-12-09 13:46:11.327	142.4749	1558.8623
21	2019-12-09 13:46:11.841	149.9436	1558.8655
22	2019-12-09 13:46:12.357	149.9436	1558.8717
23	2019-12-09 13:46:12.874	149.9436	1558.851
24	2019-12-09 13:46:13.390	149.9436	1558.975
25	2019-12-09 13:46:13.905	150.8109	1558.9834
26	2019-12-09 13:46:14.423	150.8109	1558.9815
27	2019-12-09 13:46:14.936	150.8109	1558.9839
28	2019-12-09 13:46:15.454	150.8109	1559.1088
29	2019-12-09 13:46:15.965	150.8109	1559.1054
30	2019-12-09 13:46:16.487	159.9178	1559.0963
31	2019-12-09 13:46:17.000	159.9178	1559.1085
32	2019-12-09 13:46:17.517	159.9178	1559.2296
33	2019-12-09 13:46:18.028	159.9178	1559.2038
34	2019-12-09 13:46:18.550	164.929	1559.1867
35	2019-12-09 13:46:19.077	164.929	1559.222
36	2019-12-09 13:46:19.594	164.929	1558.6761
37	2019-12-09 13:46:20.111	164.929	1558.647
38	2019-12-09 13:46:20.625	169.9402	1559.2623
39	2019-12-09 13:46:21.140	169.9402	1559.4136
40	2019-12-09 13:46:21.658	169.9402	1559.0459
41	2019-12-09 13:46:22.173	169.9402	1558.4965
42	2019-12-09 13:46:22.685	174.9033	1558.4972
43	2019-12-09 13:46:23.205	174.9033	1558.4968
44	2019-12-09 13:46:23.718	174.9033	1558.5461
45	2019-12-09 13:46:24.234	174.9033	1558.5424
46	2019-12-09 13:46:24.749	179.9145	1558.5403
47	2019-12-09 13:46:25.265	179.9145	1558.538
48	2019-12-09 13:46:25.779	179.9145	1558.5919
49	2019-12-09 13:46:26.297	179.9145	1558.5958
50	2019-12-09 13:46:26.811	184.9257	1558.5936
51	2019-12-09 13:46:27.328	184.9257	1558.5924
52	2019-12-09 13:46:27.843	184.9257	1558.5907
53	2019-12-09 13:46:28.358	184.9257	1558.6412
54	2019-12-09 13:46:28.875	189.8887	1558.6462
55	2019-12-09 13:46:29.390	189.8887	1558.6429
56	2019-12-09 13:46:29.906	189.8887	1558.6424
57	2019-12-09 13:46:30.419	189.8887	1558.6941
58	2019-12-09 13:46:30.935	189.8887	1558.6886
59	2019-12-09 13:46:31.451	194.8999	1558.6904
60	2019-12-09 13:46:31.969	194.8999	1558.6913
61	2019-12-09 13:46:32.487	194.8999	1558.7492
62	2019-12-09 13:46:33.000	194.8999	1558.7488
63	2019-12-09 13:46:33.517	199.9111	1558.7517
64	2019-12-09 13:46:34.031	199.9111	1558.7518
65	2019-12-09 13:46:34.547	199.9111	1558.8082
66	2019-12-09 13:46:35.060	199.9111	1558.8098
67	2019-12-09 13:46:35.580	204.9223	1558.8086
68	2019-12-09 13:46:36.092	204.9223	1558.8101
69	2019-12-09 13:46:36.609	204.9223	1558.8662
70	2019-12-09 13:46:37.123	204.9223	1558.867
71	2019-12-09 13:46:37.640	209.8854	1558.8645
72	2019-12-09 13:46:38.155	209.8854	1558.8619
73	2019-12-09 13:46:38.671	209.8854	1558.9265
74	2019-12-09 13:46:39.185	209.8854	1558.9265
75	2019-12-09 13:46:39.705	214.8966	1558.9304
76	2019-12-09 13:46:40.219	214.8966	1558.9243
77	2019-12-09 13:46:40.733	214.8966	1558.9855
78	2019-12-09 13:46:41.249	214.8966	1558.9805
79	2019-12-09 13:46:41.767	219.9078	1558.9781
80	2019-12-09 13:46:42.284	219.9078	1558.9786
81	2019-12-09 13:46:42.800	219.9078	1559.0427
82	2019-12-09 13:46:43.314	219.9078	1559.0453
83	2019-12-09 13:46:43.828	222.4134	1559.0471
84	2019-12-09 13:46:44.343	222.4134	1559.0466
85	2019-12-09 13:46:44.862	222.4134	1559.0979
86	2019-12-09 13:46:45.378	222.4134	1559.1017
87	2019-12-09 13:46:45.892	229.882	1559.0965
88	2019-12-09 13:46:46.406	229.882	1559.0959
89	2019-12-09 13:46:46.921	229.882	1559.0976
90	2019-12-09 13:46:47.439	229.882	1559.1522
91	2019-12-09 13:46:47.955	234.8932	1559.1563
92	2019-12-09 13:46:48.469	234.8932	1559.1598
93	2019-12-09 13:46:48.986	234.8932	1559.1589
94	2019-12-09 13:46:49.498	234.8932	1559.2181
95	2019-12-09 13:46:50.017	234.8932	1559.218
96	2019-12-09 13:46:50.530	239.9044	1559.2156
97	2019-12-09 13:46:51.047	239.9044	1559.2117
98	2019-12-09 13:46:51.564	239.9044	1558.6687
99	2019-12-09 13:46:52.078	239.9044	1558.6635
100	2019-12-09 13:46:52.595	244.8675	1558.6631
101	2019-12-09 13:46:53.110	244.8675	1558.6676
102	2019-12-09 13:46:53.624	244.8675	1558.7058
103	2019-12-09 13:46:54.138	244.8675	1558.708
104	2019-12-09 13:46:54.657	249.9269	1558.707
105	2019-12-09 13:46:55.173	249.9269	1558.7072
106	2019-12-09 13:46:55.685	249.9269	1558.7455
107	2019-12-09 13:46:56.203	249.9269	1558.7444
108	2019-12-09 13:46:56.719	254.8899	1558.7451
109	2019-12-09 13:46:57.233	254.8899	1558.7427
110	2019-12-09 13:46:57.751	254.8899	1558.78
111	2019-12-09 13:46:58.265	254.8899	1558.7785
112	2019-12-09 13:46:58.781	259.9011	1558.7716
113	2019-12-09 13:46:59.297	259.9011	1558.7751
114	2019-12-09 13:46:59.815	259.9011	1558.8131
115	2019-12-09 13:47:00.328	259.9011	1558.8192
116	2019-12-09 13:47:00.842	264.9123	1558.82
117	2019-12-09 13:47:01.359	264.9123	1558.8199
118	2019-12-09 13:47:01.877	264.9123	1558.8194
119	2019-12-09 13:47:02.393	264.9123	1558.8578
120	2019-12-09 13:47:02.907	269.8753	1558.8559
121	2019-12-09 13:47:03.419	269.8753	1558.8564
122	2019-12-09 13:47:03.937	269.8753	1558.8553
123	2019-12-09 13:47:04.454	269.8753	1558.8937
124	2019-12-09 13:47:04.970	274.8865	1558.8903
125	2019-12-09 13:47:05.483	274.8865	1558.8901
126	2019-12-09 13:47:06.002	274.8865	1558.8918
127	2019-12-09 13:47:06.516	274.8865	1558.9254
128	2019-12-09 13:47:07.029	279.8977	1558.9249
129	2019-12-09 13:47:07.548	279.8977	1558.9257
130	2019-12-09 13:47:08.064	279.8977	1558.9273
131	2019-12-09 13:47:08.578	279.8977	1558.963
