Pump current	Output power
130	633
135	710
140	792
145	870
150	949
155	1026
160	1106
165	1189
170	1265
175	1304
180	1426
185	1505
190	1583
195	1665
200	1747
205	1822
210	1904
215	1983
220	2064
225	2144
230	2222
235	2298
240	2377
245	2456
250	2537
255	2610
260	2687
265	2773
270	2848
275	2930
280	3009
285	3086
290	3162
295	3240
300	3226
305	3390
310	3466
315	3548
320	3621
325	3708
330	3780
335	3864
340	3946
345	4020
350	4098
355	4176
360	4250
