	time	current	center_wavelength
0	2019-12-10 13:06:49.244	129.9469	1558.3876
1	2019-12-10 13:06:49.762	129.9469	1558.3874
2	2019-12-10 13:06:50.277	129.9469	1558.3838
3	2019-12-10 13:06:50.792	129.9469	1558.3903
4	2019-12-10 13:06:51.309	129.9469	1558.3883
5	2019-12-10 13:06:51.824	129.9469	1558.3925
6	2019-12-10 13:06:52.339	129.9469	1558.3893
7	2019-12-10 13:06:52.857	129.9469	1558.3916
8	2019-12-10 13:06:53.374	129.9469	1558.4694
9	2019-12-10 13:06:53.885	129.9469	1558.4672
10	2019-12-10 13:06:54.403	134.9581	1558.4688
11	2019-12-10 13:06:54.918	134.9581	1558.4663
12	2019-12-10 13:06:55.431	134.9581	1558.5415
13	2019-12-10 13:06:55.949	134.9581	1558.543
14	2019-12-10 13:06:56.465	139.9693	1558.5416
15	2019-12-10 13:06:56.979	139.9693	1558.5421
16	2019-12-10 13:06:57.494	139.9693	1558.5403
17	2019-12-10 13:06:58.013	139.9693	1558.6336
18	2019-12-10 13:06:58.527	144.9324	1558.627
19	2019-12-10 13:06:59.042	144.9324	1558.6304
20	2019-12-10 13:06:59.559	144.9324	1558.6388
21	2019-12-10 13:07:00.074	144.9324	1558.7334
22	2019-12-10 13:07:00.588	149.9436	1558.735
23	2019-12-10 13:07:01.106	149.9436	1558.7365
24	2019-12-10 13:07:01.622	149.9436	1558.7338
25	2019-12-10 13:07:02.137	149.9436	1558.8441
26	2019-12-10 13:07:02.652	154.9548	1558.8373
27	2019-12-10 13:07:03.167	154.9548	1558.8372
28	2019-12-10 13:07:03.684	154.9548	1558.8418
29	2019-12-10 13:07:04.200	154.9548	1558.9546
30	2019-12-10 13:07:04.714	159.9178	1558.9507
31	2019-12-10 13:07:05.232	159.9178	1558.9505
32	2019-12-10 13:07:05.744	159.9178	1558.9536
33	2019-12-10 13:07:06.262	159.9178	1559.0538
34	2019-12-10 13:07:06.776	159.9178	1559.0577
35	2019-12-10 13:07:07.291	164.9772	1559.0572
36	2019-12-10 13:07:07.809	164.9772	1559.0517
37	2019-12-10 13:07:08.323	164.9772	1559.1607
38	2019-12-10 13:07:08.839	164.9772	1559.1642
39	2019-12-10 13:07:09.356	167.531	1559.1483
40	2019-12-10 13:07:09.870	167.531	1559.1491
41	2019-12-10 13:07:10.387	167.531	1558.4085
42	2019-12-10 13:07:10.901	167.531	1558.395
43	2019-12-10 13:07:11.419	174.9514	1559.5493
44	2019-12-10 13:07:11.934	174.9514	1559.2902
45	2019-12-10 13:07:12.449	174.9514	1558.8175
46	2019-12-10 13:07:12.966	174.9514	1558.7031
47	2019-12-10 13:07:13.482	179.9626	1559.0132
48	2019-12-10 13:07:13.997	179.9626	1558.7419
49	2019-12-10 13:07:14.510	179.9626	1558.4217
50	2019-12-10 13:07:15.028	179.9626	1558.5159
51	2019-12-10 13:07:15.548	184.9257	1558.5131
52	2019-12-10 13:07:16.072	184.9257	1558.5158
53	2019-12-10 13:07:16.593	184.9257	1558.5136
54	2019-12-10 13:07:17.105	184.9257	1558.5517
55	2019-12-10 13:07:17.621	185.3112	1558.5471
56	2019-12-10 13:07:18.134	185.3112	1558.5472
57	2019-12-10 13:07:18.653	185.3112	1558.5442
58	2019-12-10 13:07:19.171	185.3112	1558.5804
59	2019-12-10 13:07:19.687	191.1415	1558.5788
60	2019-12-10 13:07:20.199	191.1415	1558.5776
61	2019-12-10 13:07:20.713	191.1415	1558.5788
62	2019-12-10 13:07:21.228	191.1415	1558.6273
63	2019-12-10 13:07:21.746	191.1415	1558.6326
64	2019-12-10 13:07:22.262	196.1527	1558.6308
65	2019-12-10 13:07:22.777	196.1527	1558.6357
66	2019-12-10 13:07:23.296	196.1527	1558.6833
67	2019-12-10 13:07:23.810	196.1527	1558.6811
68	2019-12-10 13:07:24.322	204.9223	1558.6831
69	2019-12-10 13:07:24.839	204.9223	1558.6824
70	2019-12-10 13:07:25.354	204.9223	1558.728
71	2019-12-10 13:07:25.875	204.9223	1558.7247
72	2019-12-10 13:07:26.390	208.8253	1558.7225
73	2019-12-10 13:07:26.902	208.8253	1558.7227
74	2019-12-10 13:07:27.419	208.8253	1558.7737
75	2019-12-10 13:07:27.935	208.8253	1558.7742
76	2019-12-10 13:07:28.450	214.8966	1558.7743
77	2019-12-10 13:07:28.964	214.8966	1558.7764
78	2019-12-10 13:07:29.480	214.8966	1558.825
79	2019-12-10 13:07:29.995	214.8966	1558.8284
80	2019-12-10 13:07:30.512	219.956	1558.8342
81	2019-12-10 13:07:31.028	219.956	1558.8322
82	2019-12-10 13:07:31.543	219.956	1558.8884
83	2019-12-10 13:07:32.062	219.956	1558.8838
84	2019-12-10 13:07:32.573	224.919	1558.8825
85	2019-12-10 13:07:33.089	224.919	1558.8788
