	time	current	center_wavelength
0	2019-12-06 18:54:06.353	129.9469	1558.384
1	2019-12-06 18:54:06.870	129.9469	1558.3885
2	2019-12-06 18:54:07.383	129.9469	1558.3815
3	2019-12-06 18:54:07.901	129.9469	1558.3843
4	2019-12-06 18:54:08.415	129.9469	1558.3818
5	2019-12-06 18:54:08.930	129.9469	1558.38
6	2019-12-06 18:54:09.448	129.9469	1558.382
7	2019-12-06 18:54:09.963	129.9469	1558.382
8	2019-12-06 18:54:10.477	129.9469	1558.3826
9	2019-12-06 18:54:10.993	129.9469	1558.3936
10	2019-12-06 18:54:11.512	129.9469	1558.3854
11	2019-12-06 18:54:12.023	129.9469	1558.3884
12	2019-12-06 18:54:12.540	129.9469	1558.5064
13	2019-12-06 18:54:13.058	129.9469	1558.5092
14	2019-12-06 18:54:13.575	131.7298	1558.5052
15	2019-12-06 18:54:14.104	131.7298	1558.5056
16	2019-12-06 18:54:14.619	131.7298	1558.6203
17	2019-12-06 18:54:15.135	131.7298	1558.617
18	2019-12-06 18:54:15.650	139.9693	1558.6164
19	2019-12-06 18:54:16.166	139.9693	1558.616
20	2019-12-06 18:54:16.681	139.9693	1558.7356
21	2019-12-06 18:54:17.196	139.9693	1558.7349
22	2019-12-06 18:54:17.713	144.9324	1558.7374
23	2019-12-06 18:54:18.229	144.9324	1558.7332
24	2019-12-06 18:54:18.748	144.9324	1558.8614
25	2019-12-06 18:54:19.262	144.9324	1558.859
26	2019-12-06 18:54:19.777	149.9436	1558.8575
27	2019-12-06 18:54:20.306	149.9436	1558.8565
28	2019-12-06 18:54:20.824	149.9436	1558.9906
29	2019-12-06 18:54:21.340	149.9436	1558.9913
30	2019-12-06 18:54:21.853	150.0399	1558.9898
31	2019-12-06 18:54:22.370	150.0399	1558.9877
32	2019-12-06 18:54:22.884	150.0399	1559.1128
33	2019-12-06 18:54:23.401	150.0399	1559.1155
34	2019-12-06 18:54:23.915	159.966	1559.1117
35	2019-12-06 18:54:24.432	159.966	1559.1106
36	2019-12-06 18:54:24.947	159.966	1559.1119
37	2019-12-06 18:54:25.464	159.966	1559.2482
38	2019-12-06 18:54:25.977	162.5198	1559.2481
39	2019-12-06 18:54:26.493	162.5198	1559.2466
40	2019-12-06 18:54:27.010	162.5198	1559.2492
41	2019-12-06 18:54:27.526	162.5198	1559.3792
42	2019-12-06 18:54:28.041	169.9402	1559.3781
43	2019-12-06 18:54:28.557	169.9402	1559.382
44	2019-12-06 18:54:29.073	169.9402	1559.3798
45	2019-12-06 18:54:29.592	169.9402	1558.3316
46	2019-12-06 18:54:30.104	169.9402	1558.0624
47	2019-12-06 18:54:30.619	174.9514	1559.5468
48	2019-12-06 18:54:31.137	174.9514	1559.6908
49	2019-12-06 18:54:31.651	174.9514	1558.4983
50	2019-12-06 18:54:32.165	174.9514	1558.4979
51	2019-12-06 18:54:32.681	179.9626	1558.4968
52	2019-12-06 18:54:33.197	179.9626	1558.4923
53	2019-12-06 18:54:33.714	179.9626	1558.5492
54	2019-12-06 18:54:34.232	179.9626	1558.5519
55	2019-12-06 18:54:34.744	184.9257	1558.549
56	2019-12-06 18:54:35.262	184.9257	1558.5452
57	2019-12-06 18:54:35.775	184.9257	1558.6099
58	2019-12-06 18:54:36.291	184.9257	1558.6118
59	2019-12-06 18:54:36.808	189.9369	1558.6134
60	2019-12-06 18:54:37.323	189.9369	1558.6122
61	2019-12-06 18:54:37.839	189.9369	1558.6682
62	2019-12-06 18:54:38.357	189.9369	1558.6707
63	2019-12-06 18:54:38.868	194.9481	1558.6644
