Pump current	Output power
130	570
135	643
140	713
145	783
150	853
155	926
160	993
165	1063
170	1133
175	1175
180	1280
185	1352
190	1424
195	1492
200	1566
205	1638
210	1707
215	1779
220	1846
225	1915
230	1983
235	2055
240	2128
245	2198
250	2268
255	2344
260	2414
265	2486
270	2550
275	2620
280	2690
285	2758
290	2830
295	2903
300	2970
305	3038
310	3102
315	3170
320	3240
325	3308
330	3375
335	3441
340	3530
345	3598
350	3660
355	3732
360	3802
