Pump current	Output power
130	667
135	753
140	835
145	918
150	1000
155	1082
160	1165
165	1248
170	1325
175	1401
180	1497
185	1564
190	1648
195	1750
200	1828
205	1913
210	1999
215	2075
220	2161
225	2248
230	2330
235	2410
240	2491
245	2570
250	2660
255	2738
260	2827
265	2909
270	2988
275	3069
280	3153
285	3240
290	3322
295	3403
300	3483
305	3562
310	3644
315	3727
320	3805
325	3888
330	3972
335	4059
340	4138
345	4211
350	4293
355	4382
360	4460
