Pump current	Output power
130	652
135	732
140	813
145	893
150	933
155	974
160	1030
165	1108
170	1080
175	1380
180	1461
185	1542
190	1628
195	1705
200	1791
205	1870
210	1947
215	2034
220	2110
225	2194
230	2275
235	2359
240	2437
245	2514
250	2596
255	2679
260	2777
265	2842
270	2923
275	2999
280	3084
285	3165
290	3239
295	3319
300	3400
305	3481
310	3566
315	3641
320	3725
325	3829
330	3909
335	3990
340	4071
345	4148
350	4230
355	4310
360	4385
