	time	current	center_wavelength
0	2019-12-11 11:19:21.118	129.9469	1558.493
1	2019-12-11 11:19:21.632	129.9469	1558.4921
2	2019-12-11 11:19:22.149	129.9469	1558.4987
3	2019-12-11 11:19:22.664	129.9469	1558.4988
4	2019-12-11 11:19:23.181	129.9469	1558.4985
5	2019-12-11 11:19:23.696	129.9469	1558.3828
6	2019-12-11 11:19:24.211	129.9469	1558.3782
7	2019-12-11 11:19:24.726	129.9469	1558.3757
8	2019-12-11 11:19:25.244	129.9469	1558.3738
9	2019-12-11 11:19:25.758	129.9469	1558.4231
10	2019-12-11 11:19:26.275	129.9469	1558.4219
11	2019-12-11 11:19:26.789	134.9581	1558.4118
12	2019-12-11 11:19:27.308	134.9581	1558.4156
13	2019-12-11 11:19:27.823	134.9581	1558.4806
14	2019-12-11 11:19:28.337	134.9581	1558.477
15	2019-12-11 11:19:28.852	139.9693	1558.4799
16	2019-12-11 11:19:29.367	139.9693	1558.4817
17	2019-12-11 11:19:29.884	139.9693	1558.5391
18	2019-12-11 11:19:30.398	139.9693	1558.5435
19	2019-12-11 11:19:30.916	144.9324	1558.5393
20	2019-12-11 11:19:31.433	144.9324	1558.548
21	2019-12-11 11:19:31.949	144.9324	1558.5994
22	2019-12-11 11:19:32.477	144.9324	1558.3616
23	2019-12-11 11:19:32.994	149.6545	1558.6011
24	2019-12-11 11:19:33.511	149.6545	1558.5613
25	2019-12-11 11:19:34.024	149.6545	1558.5343
26	2019-12-11 11:19:34.543	149.6545	1558.4472
27	2019-12-11 11:19:35.056	154.9548	1558.3387
28	2019-12-11 11:19:35.574	154.9548	1558.4185
29	2019-12-11 11:19:36.089	154.9548	1558.3356
30	2019-12-11 11:19:36.604	154.9548	1557.9526
31	2019-12-11 11:19:37.119	156.4003	1558.1937
32	2019-12-11 11:19:37.633	156.4003	1558.1951
33	2019-12-11 11:19:38.150	156.4003	1558.465
34	2019-12-11 11:19:38.667	156.4003	1558.4012
35	2019-12-11 11:19:39.181	164.9772	1558.765
36	2019-12-11 11:19:39.697	164.9772	1558.7206
37	2019-12-11 11:19:40.214	164.9772	1558.3581
38	2019-12-11 11:19:40.729	164.9772	1558.374
39	2019-12-11 11:19:41.243	164.9772	1558.3754
40	2019-12-11 11:19:41.758	169.9402	1558.3757
41	2019-12-11 11:19:42.275	169.9402	1558.3768
42	2019-12-11 11:19:42.791	169.9402	1558.4024
43	2019-12-11 11:19:43.305	169.9402	1558.3878
44	2019-12-11 11:19:43.823	174.9514	1558.3924
45	2019-12-11 11:19:44.336	174.9514	1558.3888
46	2019-12-11 11:19:44.854	174.9514	1558.4232
47	2019-12-11 11:19:45.368	174.9514	1558.4245
48	2019-12-11 11:19:45.885	178.8544	1558.427
49	2019-12-11 11:19:46.401	178.8544	1558.4271
50	2019-12-11 11:19:46.914	178.8544	1558.4586
51	2019-12-11 11:19:47.431	178.8544	1558.4597
52	2019-12-11 11:19:47.948	182.4683	1558.4585
53	2019-12-11 11:19:48.464	182.4683	1558.4606
54	2019-12-11 11:19:48.980	182.4683	1558.4849
55	2019-12-11 11:19:49.494	182.4683	1558.4857
56	2019-12-11 11:19:50.011	189.9369	1558.4819
